,Proposal_ID,Submission_Date,Title,Abstract,PI_Name,Institution,Research_Area,Funding_Source,Duration_Months,Budget_Equipment,Budget_Manpower,Budget_Consumables,Budget_Travel,Budget_Contingency,Budget_Overheads,Budget_Total,Keywords
0,NACCER/2023/RD/5457,2023-04-04,Development of Advanced Dense Medium for Quality Improvement in Indian Coal,This research project aims to develop an innovative approach to development of advanced dense medium for quality improvement in indian coal. The methodology involves by combining traditional methods with modern AI techniques for comprehensive analysis and implementation. Expected outcomes include 30-40% improvement in productivity and enhanced safety measures.,Dr. Amit Rao,IIT Kharagpur,Rock Mechanics,CIL,18,2016006,1270709,568458,283879,232349,524568,4895969,Rock Mechanics; Advanced; Innovation; Applied Research
11,NACCER/2024/RD/5547,2024-02-16,Innovative Air Classification Technology for Sustainable Efficiency Improvement,The proposed study focuses on developing a novel methodology to innovative air classification technology for sustainable efficiency improvement. The methodology involves by combining traditional methods with modern AI techniques for comprehensive analysis and implementation. Results will contribute to digital transformation of the Indian coal sector.,Prof. Lakshmi Nair,IIT Bombay,Geotechnical Engineering,CIL,18,1288910,791017,215658,173676,124294,311226,2904781,Geotechnical Engineering; Classification; Innovation; Applied Research
12,NACCER/2023/RD/8955,2023-11-04,Computer Vision-Based Optimization for Productivity,The research proposes an advanced solution to computer vision-based optimization for productivity. The methodology involves by combining traditional methods with modern AI techniques for comprehensive analysis and implementation. This will significantly improve operational efficiency and reduce costs for CIL subsidiaries.,Prof. Suresh Pillai,CSIR-CIMFR,Automation & AI,CIL,36,1158353,838717,451670,121202,162005,327833,3059780,Automation & AI; Optimization; Innovation; Applied Research
13,NACCER/2024/RD/9500,2024-07-09,Intelligent Detection Platform for Hazard Detection Prediction,This project aims to address critical challenges to intelligent detection platform for hazard detection prediction. The methodology involves through integration of IoT technologies and data analytics for comprehensive analysis and implementation. Results will contribute to digital transformation of the Indian coal sector.,Prof. Vikram Reddy,IIT Delhi,Mine Safety,MoC,18,4228369,3187133,1007109,274049,423689,1094441,10214790,Mine Safety; Platform; Innovation; Large-Scale
14,NACCER/2023/RD/6617,2023-06-27,Optimization of Air Classification Process for Quality Improvement,The research proposes an advanced solution to optimization of air classification process for quality improvement. The methodology involves utilizing machine learning algorithms and advanced sensors for comprehensive analysis and implementation. Results will contribute to digital transformation of the Indian coal sector.,Dr. Sneha Desai,NIT Durgapur,Mine Planning,CIL,36,1597310,1230112,424326,198562,181211,435782,4067303,Mine Planning; Air; Innovation; Applied Research
15,NACCER/2024/RD/9437,2024-03-27,Optimization of Dry Cleaning Process for Ash Reduction,This research project aims to develop an innovative approach to optimization of dry cleaning process for ash reduction. The methodology involves by combining traditional methods with modern AI techniques for comprehensive analysis and implementation. Results will contribute to digital transformation of the Indian coal sector.,Prof. Anjali Gupta,ISM Dhanbad,Methane Extraction,MoC,36,7932229,6629000,2352058,892466,871838,2241310,20918901,Methane Extraction; Dry; Innovation; Large-Scale
16,NACCER/2023/RD/6556,2023-09-14,Optimization of Dense Medium Process for Grade Enhancement,This research project aims to develop an innovative approach to optimization of dense medium process for grade enhancement. The methodology involves using cutting-edge automation and computational methods for comprehensive analysis and implementation. Expected outcomes include 30-40% improvement in productivity and enhanced safety measures.,Prof. Neha Desai,NIT Warangal,IoT in Mining,CIL,36,763210,726665,226094,144982,105708,235999,2202658,IoT in Mining; Dense; Innovation; Applied Research
17,NACCER/2022/RD/2537,2022-05-24,Development of Advanced Sensor-Based Sorting for Quality Improvement in Indian Coal,This research project aims to develop an innovative approach to development of advanced sensor-based sorting for quality improvement in indian coal. The methodology involves utilizing machine learning algorithms and advanced sensors for comprehensive analysis and implementation. Expected outcomes include 30-40% improvement in productivity and enhanced safety measures.,Dr. Manoj Gupta,IIT Delhi,IoT in Mining,CIL,24,1970216,1718641,455825,147026,229215,542510,5063433,IoT in Mining; Advanced; Innovation; Applied Research
18,NACCER/2023/RD/4739,2023-07-04,Intelligent Monitoring Platform for Gas Monitoring Prediction,This project aims to address critical challenges to intelligent monitoring platform for gas monitoring prediction. The methodology involves by combining traditional methods with modern AI techniques for comprehensive analysis and implementation. This will significantly improve operational efficiency and reduce costs for CIL subsidiaries.,Dr. Amit Singh,CSIR-CMRI,Mine Safety,CIL,18,885011,639589,276323,85766,112860,239945,2239494,Mine Safety; Platform; Innovation; Applied Research
19,NACCER/2022/RD/2732,2022-09-15,Innovative Sensor-Based Sorting Technology for Sustainable Efficiency Improvement,The proposed study focuses on developing a novel methodology to innovative sensor-based sorting technology for sustainable efficiency improvement. The methodology involves through integration of IoT technologies and data analytics for comprehensive analysis and implementation. Results will contribute to digital transformation of the Indian coal sector.,Dr. Rahul Mehta,IISc Bangalore,IoT in Mining,CIL,30,794352,533392,187841,92424,91970,203997,1903976,IoT in Mining; Sorting; Innovation; Applied Research
20,NACCER/2024/RD/9533,2024-04-22,Development of Advanced Sensor-Based Sorting for Grade Enhancement in Indian Coal,The proposed study focuses on developing a novel methodology to development of advanced sensor-based sorting for grade enhancement in indian coal. The methodology involves by combining traditional methods with modern AI techniques for comprehensive analysis and implementation. Expected outcomes include 30-40% improvement in productivity and enhanced safety measures.,Dr. Divya Kumar,NERIST,Coal Beneficiation,CIL,24,1924308,1570282,451365,227009,197931,524507,4895402,Coal Beneficiation; Advanced; Innovation; Applied Research
21,NACCER/2024/RD/5571,2024-01-10,Novel Flotation Approach for Quality Improvement of High-Ash Coal,This research project aims to develop an innovative approach to novel flotation approach for quality improvement of high-ash coal. The methodology involves through integration of IoT technologies and data analytics for comprehensive analysis and implementation. Results will contribute to digital transformation of the Indian coal sector.,Dr. Ravi Gupta,BIT Mesra,Drone Technology,CIL,12,742978,573601,188024,98028,89201,203019,1894851,Drone Technology; Approach; Innovation; Applied Research
22,NACCER/2024/RD/7638,2024-03-10,Novel Dense Medium Approach for Ash Reduction of High-Ash Coal,The research proposes an advanced solution to novel dense medium approach for ash reduction of high-ash coal. The methodology involves using cutting-edge automation and computational methods for comprehensive analysis and implementation. Results will contribute to digital transformation of the Indian coal sector.,Dr. Priya Kumar,CSIR-CIMFR,Mineral Processing,CIL,18,2160048,1630154,428374,310620,240307,572340,5341843,Mineral Processing; Medium; Innovation; Applied Research
23,NACCER/2024/RD/2314,2024-07-12,Development of Monitoring for Real-time Gas Monitoring,The proposed study focuses on developing a novel methodology to development of monitoring for real-time gas monitoring. The methodology involves utilizing machine learning algorithms and advanced sensors for comprehensive analysis and implementation. The technology will enable sustainable mining practices and environmental compliance.,Dr. Rahul Das,IIT Bombay,Mine Safety,CIL,24,1567625,901337,271297,201216,154199,371480,3467154,Mine Safety; Monitoring; Innovation; Applied Research
24,NACCER/2022/RD/7928,2022-01-14,Optimization of Dry Cleaning Process for Waste Minimization,The proposed study focuses on developing a novel methodology to optimization of dry cleaning process for waste minimization. The methodology involves utilizing machine learning algorithms and advanced sensors for comprehensive analysis and implementation. Results will contribute to digital transformation of the Indian coal sector.,Prof. Meera Reddy,IIT Bombay,Mineral Processing,CIL,24,1415755,988672,521408,215309,175321,397975,3714440,Mineral Processing; Dry; Innovation; Applied Research
25,NACCER/2022/RD/5858,2022-01-22,Innovative Gravity Separation Technology for Sustainable Ash Reduction,This project aims to address critical challenges to innovative gravity separation technology for sustainable ash reduction. The methodology involves through integration of IoT technologies and data analytics for comprehensive analysis and implementation. Results will contribute to digital transformation of the Indian coal sector.,Prof. Sanjay Reddy,VNIT Nagpur,Geotechnical Engineering,CIL,18,1271929,784994,425684,145612,148993,333265,3110477,Geotechnical Engineering; Separation; Innovation; Applied Research
26,NACCER/2023/RD/5381,2023-10-07,Development of Advanced Sensor-Based Sorting for Ash Reduction in Indian Coal,This project aims to address critical challenges to development of advanced sensor-based sorting for ash reduction in indian coal. The methodology involves using cutting-edge automation and computational methods for comprehensive analysis and implementation. This will significantly improve operational efficiency and reduce costs for CIL subsidiaries.,Dr. Ravi Joshi,NIT Rourkela,Mineral Processing,CIL,24,1417979,1290743,420503,107613,167290,408495,3812623,Mineral Processing; Advanced; Innovation; Applied Research
27,NACCER/2023/RD/6163,2023-11-13,Optimization of Dense Medium Process for Efficiency Improvement,The proposed study focuses on developing a novel methodology to optimization of dense medium process for efficiency improvement. The methodology involves utilizing machine learning algorithms and advanced sensors for comprehensive analysis and implementation. Expected outcomes include 30-40% improvement in productivity and enhanced safety measures.,Dr. Vikram Singh,NERIST,IoT in Mining,CIL,18,1132045,1019910,359227,95162,133342,328762,3068448,IoT in Mining; Dense; Innovation; Applied Research
28,NACCER/2022/RD/1403,2022-05-22,Optimization of Gravity Separation Process for Quality Improvement,The research proposes an advanced solution to optimization of gravity separation process for quality improvement. The methodology involves through integration of IoT technologies and data analytics for comprehensive analysis and implementation. This will significantly improve operational efficiency and reduce costs for CIL subsidiaries.,Dr. Divya Pillai,NIT Rourkela,Mineral Processing,CIL,18,1811393,1149380,497052,187034,167813,457520,4270192,Mineral Processing; Gravity; Innovation; Applied Research
29,NACCER/2023/RD/1651,2023-12-08,Development of Advanced Air Classification for Grade Enhancement in Indian Coal,The research proposes an advanced solution to development of advanced air classification for grade enhancement in indian coal. The methodology involves through integration of IoT technologies and data analytics for comprehensive analysis and implementation. Expected outcomes include 30-40% improvement in productivity and enhanced safety measures.,Dr. Sanjay Rao,CSIR-CIMFR,Carbon Capture,CIL,18,1534047,1116841,405816,139064,151250,401642,3748660,Carbon Capture; Advanced; Innovation; Applied Research
30,NACCER/2024/RD/3572,2024-12-05,Autonomous Classification for Resource Planning Optimization,This project aims to address critical challenges to autonomous classification for resource planning optimization. The methodology involves using cutting-edge automation and computational methods for comprehensive analysis and implementation. This will significantly improve operational efficiency and reduce costs for CIL subsidiaries.,Dr. Amit Mehta,CSIR-CIMFR,Automation & AI,CIL,12,1138335,1064609,227975,90618,137601,319096,2978234,Automation & AI; for; Innovation; Applied Research
31,NACCER/2023/RD/5178,2023-05-06,Development of Advanced Gravity Separation for Ash Reduction in Indian Coal,The research proposes an advanced solution to development of advanced gravity separation for ash reduction in indian coal. The methodology involves using cutting-edge automation and computational methods for comprehensive analysis and implementation. The technology will enable sustainable mining practices and environmental compliance.,Prof. Pooja Reddy,NIT Durgapur,Mine Reclamation,CIL,36,1121323,1005375,296415,165495,150102,328645,3067355,Mine Reclamation; Advanced; Innovation; Applied Research
32,NACCER/2022/RD/5338,2022-02-18,Smart Monitoring Framework for Enhanced Gas Monitoring,This project aims to address critical challenges to smart monitoring framework for enhanced gas monitoring. The methodology involves using cutting-edge automation and computational methods for comprehensive analysis and implementation. This will significantly improve operational efficiency and reduce costs for CIL subsidiaries.,Prof. Pooja Mehta,IISc Bangalore,Mine Safety,CIL,30,1231508,792028,248323,127633,114973,301735,2816200,Mine Safety; Framework; Innovation; Applied Research
33,NACCER/2024/RD/5678,2024-08-28,Novel Gravity Separation Approach for Quality Improvement of High-Ash Coal,The proposed study focuses on developing a novel methodology to novel gravity separation approach for quality improvement of high-ash coal. The methodology involves through integration of IoT technologies and data analytics for comprehensive analysis and implementation. Expected outcomes include 30-40% improvement in productivity and enhanced safety measures.,Prof. Lakshmi Patel,IISc Bangalore,Carbon Capture,CIL,18,1274786,818318,283290,179112,131950,322494,3009950,Carbon Capture; Separation; Innovation; Applied Research
34,NACCER/2024/RD/9037,2024-04-08,Innovative Gravity Separation Technology for Sustainable Efficiency Improvement,The research proposes an advanced solution to innovative gravity separation technology for sustainable efficiency improvement. The methodology involves utilizing machine learning algorithms and advanced sensors for comprehensive analysis and implementation. Results will contribute to digital transformation of the Indian coal sector.,Dr. Manoj Joshi,IIT Bombay,Underground Mining,CIL,24,1424819,1184006,279022,131014,166933,382295,3568089,Underground Mining; Separation; Innovation; Applied Research
35,NACCER/2022/RD/6736,2022-05-19,Novel Sensor-Based Sorting Approach for Quality Improvement of High-Ash Coal,This project aims to address critical challenges to novel sensor-based sorting approach for quality improvement of high-ash coal. The methodology involves utilizing machine learning algorithms and advanced sensors for comprehensive analysis and implementation. Expected outcomes include 30-40% improvement in productivity and enhanced safety measures.,Prof. Kavita Patel,ISM Dhanbad,Underground Mining,CIL,30,704714,555743,253193,119402,91904,206994,1931950,Underground Mining; Sorting; Innovation; Applied Research
36,NACCER/2022/RD/2086,2022-07-01,Innovative Gravity Separation Technology for Sustainable Quality Improvement,The research proposes an advanced solution to innovative gravity separation technology for sustainable quality improvement. The methodology involves utilizing machine learning algorithms and advanced sensors for comprehensive analysis and implementation. Expected outcomes include 30-40% improvement in productivity and enhanced safety measures.,Dr. Kiran Gupta,IIT Bombay,Coal Beneficiation,MoC,24,5381151,4504484,1725426,664395,719334,1559374,14554164,Coal Beneficiation; Separation; Innovation; Large-Scale
37,NACCER/2022/RD/6503,2022-12-08,Novel Sensor-Based Sorting Approach for Grade Enhancement of High-Ash Coal,This research project aims to develop an innovative approach to novel sensor-based sorting approach for grade enhancement of high-ash coal. The methodology involves using cutting-edge automation and computational methods for comprehensive analysis and implementation. This will significantly improve operational efficiency and reduce costs for CIL subsidiaries.,Dr. Rahul Rao,IIT Madras,Mine Reclamation,CIL,24,1104203,775654,245184,100391,139449,283785,2648666,Mine Reclamation; Sorting; Innovation; Applied Research
38,NACCER/2022/RD/5452,2022-08-27,Automated Detection System for Impact Assessment Assessment,The proposed study focuses on developing a novel methodology to automated detection system for impact assessment assessment. The methodology involves by combining traditional methods with modern AI techniques for comprehensive analysis and implementation. Expected outcomes include 30-40% improvement in productivity and enhanced safety measures.,Dr. Kavita Verma,IIT Bombay,Environmental Monitoring,CIL,24,1837015,1523028,508192,140877,213605,506726,4729443,Environmental Monitoring; System; Innovation; Applied Research
39,NACCER/2023/RD/9004,2023-05-15,IoT-Enabled Tracking for Air Quality in Mining Areas,The research proposes an advanced solution to iot-enabled tracking for air quality in mining areas. The methodology involves using cutting-edge automation and computational methods for comprehensive analysis and implementation. Expected outcomes include 30-40% improvement in productivity and enhanced safety measures.,Dr. Vikram Verma,BIT Mesra,Environmental Monitoring,CIL,30,866633,396989,161961,69511,79016,188893,1763003,Environmental Monitoring; for; Innovation; Applied Research
40,NACCER/2022/RD/3193,2022-05-13,Innovative Sensor-Based Sorting Technology for Sustainable Efficiency Improvement,The research proposes an advanced solution to innovative sensor-based sorting technology for sustainable efficiency improvement. The methodology involves using cutting-edge automation and computational methods for comprehensive analysis and implementation. Results will contribute to digital transformation of the Indian coal sector.,Prof. Rajesh Desai,IIT Dhanbad,Explosives Technology,CIL,30,1761691,1187807,541585,199865,204308,467430,4362686,Explosives Technology; Sorting; Innovation; Applied Research
41,NACCER/2022/RD/1558,2022-01-03,Innovative Dense Medium Technology for Sustainable Quality Improvement,The proposed study focuses on developing a novel methodology to innovative dense medium technology for sustainable quality improvement. The methodology involves through integration of IoT technologies and data analytics for comprehensive analysis and implementation. Expected outcomes include 30-40% improvement in productivity and enhanced safety measures.,Prof. Meera Das,IIT Delhi,Air Quality Control,CIL,18,1041813,749784,243583,103781,120812,271172,2530945,Air Quality Control; Medium; Innovation; Applied Research
42,NACCER/2022/RD/7291,2022-07-19,Innovative Sensor-Based Sorting Technology for Sustainable Grade Enhancement,This project aims to address critical challenges to innovative sensor-based sorting technology for sustainable grade enhancement. The methodology involves by combining traditional methods with modern AI techniques for comprehensive analysis and implementation. This will significantly improve operational efficiency and reduce costs for CIL subsidiaries.,Dr. Vikram Gupta,IIT Bombay,Mine Ventilation,CIL,24,1660303,1125758,445993,128230,172683,423956,3956923,Mine Ventilation; Sorting; Innovation; Applied Research
43,NACCER/2023/RD/8199,2023-09-03,Development of Advanced Flotation for Quality Improvement in Indian Coal,The proposed study focuses on developing a novel methodology to development of advanced flotation for quality improvement in indian coal. The methodology involves through integration of IoT technologies and data analytics for comprehensive analysis and implementation. Results will contribute to digital transformation of the Indian coal sector.,Prof. Rahul Sharma,ISM Dhanbad,Renewable Energy,CIL,18,926011,745815,316830,129991,115583,268107,2502337,Renewable Energy; Advanced; Innovation; Applied Research
44,NACCER/2022/RD/9265,2022-07-23,Novel Dense Medium Approach for Waste Minimization of High-Ash Coal,The proposed study focuses on developing a novel methodology to novel dense medium approach for waste minimization of high-ash coal. The methodology involves by combining traditional methods with modern AI techniques for comprehensive analysis and implementation. Expected outcomes include 30-40% improvement in productivity and enhanced safety measures.,Dr. Rajesh Reddy,ISM Dhanbad,Air Quality Control,CIL,36,728835,516820,213023,121315,89429,200330,1869752,Air Quality Control; Medium; Innovation; Applied Research
45,NACCER/2023/RD/7189,2023-12-01,Novel Sensor-Based Sorting Approach for Quality Improvement of High-Ash Coal,This research project aims to develop an innovative approach to novel sensor-based sorting approach for quality improvement of high-ash coal. The methodology involves by combining traditional methods with modern AI techniques for comprehensive analysis and implementation. This will significantly improve operational efficiency and reduce costs for CIL subsidiaries.,Prof. Suresh Gupta,IIT Bombay,Rock Mechanics,CIL,18,1495515,950531,313586,172736,141927,368915,3443210,Rock Mechanics; Sorting; Innovation; Applied Research
46,NACCER/2022/RD/8731,2022-12-22,Development of Advanced Flotation for Waste Minimization in Indian Coal,The proposed study focuses on developing a novel methodology to development of advanced flotation for waste minimization in indian coal. The methodology involves using cutting-edge automation and computational methods for comprehensive analysis and implementation. Expected outcomes include 30-40% improvement in productivity and enhanced safety measures.,Dr. Suresh Kumar,IIT Delhi,Mineral Processing,CIL,12,1210717,1210546,293378,215667,163842,371298,3465448,Mineral Processing; Advanced; Innovation; Applied Research
47,NACCER/2023/RD/8082,2023-05-03,Development of Advanced Dry Cleaning for Ash Reduction in Indian Coal,The research proposes an advanced solution to development of advanced dry cleaning for ash reduction in indian coal. The methodology involves through integration of IoT technologies and data analytics for comprehensive analysis and implementation. Results will contribute to digital transformation of the Indian coal sector.,Prof. Meera Kumar,Anna University,Carbon Capture,CIL,24,1365549,1149295,352676,202432,179648,389952,3639552,Carbon Capture; Advanced; Innovation; Applied Research
48,NACCER/2022/RD/3794,2022-11-02,Development of Advanced Air Classification for Efficiency Improvement in Indian Coal,This research project aims to develop an innovative approach to development of advanced air classification for efficiency improvement in indian coal. The methodology involves utilizing machine learning algorithms and advanced sensors for comprehensive analysis and implementation. Expected outcomes include 30-40% improvement in productivity and enhanced safety measures.,Prof. Anjali Verma,IIT Madras,Air Quality Control,MoC,18,4750157,2720185,976957,636827,492808,1149232,10726166,Air Quality Control; Advanced; Innovation; Large-Scale
49,NACCER/2023/RD/9164,2023-02-26,Optimization of Air Classification Process for Ash Reduction,The proposed study focuses on developing a novel methodology to optimization of air classification process for ash reduction. The methodology involves using cutting-edge automation and computational methods for comprehensive analysis and implementation. This will significantly improve operational efficiency and reduce costs for CIL subsidiaries.,Dr. Manoj Nair,IIT Kharagpur,Mineral Processing,CIL,18,2300141,1296217,522345,266646,209469,551378,5146196,Mineral Processing; Air; Innovation; Applied Research
50,NACCER/2023/RD/7000,2023-05-27,Optimization of Flotation Process for Grade Enhancement,The research proposes an advanced solution to optimization of flotation process for grade enhancement. The methodology involves using cutting-edge automation and computational methods for comprehensive analysis and implementation. Expected outcomes include 30-40% improvement in productivity and enhanced safety measures.,Prof. Sanjay Iyer,NIT Durgapur,Drone Technology,CIL,12,1126204,572901,272570,86355,106845,259785,2424660,Drone Technology; Flotation; Innovation; Applied Research
51,NACCER/2024/RD/8153,2024-09-21,Innovative Air Classification Technology for Sustainable Efficiency Improvement,The research proposes an advanced solution to innovative air classification technology for sustainable efficiency improvement. The methodology involves by combining traditional methods with modern AI techniques for comprehensive analysis and implementation. Expected outcomes include 30-40% improvement in productivity and enhanced safety measures.,Dr. Manoj Singh,CSIR-CIMFR,Geotechnical Engineering,MoC,24,4691653,2564569,776337,548099,438214,1082264,10101136,Geotechnical Engineering; Classification; Innovation; Large-Scale
52,NACCER/2024/RD/4698,2024-07-07,Development of Advanced Air Classification for Ash Reduction in Indian Coal,This project aims to address critical challenges to development of advanced air classification for ash reduction in indian coal. The methodology involves using cutting-edge automation and computational methods for comprehensive analysis and implementation. Results will contribute to digital transformation of the Indian coal sector.,Prof. Anjali Verma,IIT Delhi,Mine Planning,CIL,18,1006895,701960,193021,120587,98961,254570,2375994,Mine Planning; Advanced; Innovation; Applied Research
53,NACCER/2024/RD/6205,2024-05-19,Development of Advanced Air Classification for Grade Enhancement in Indian Coal,This research project aims to develop an innovative approach to development of advanced air classification for grade enhancement in indian coal. The methodology involves using cutting-edge automation and computational methods for comprehensive analysis and implementation. Results will contribute to digital transformation of the Indian coal sector.,Prof. Deepa Mehta,CSIR-CIMFR,Rock Mechanics,CIL,12,1073438,744267,308907,164656,136206,291296,2718770,Rock Mechanics; Advanced; Innovation; Applied Research
54,NACCER/2024/RD/8341,2024-05-18,Development of Advanced Dense Medium for Efficiency Improvement in Indian Coal,This project aims to address critical challenges to development of advanced dense medium for efficiency improvement in indian coal. The methodology involves utilizing machine learning algorithms and advanced sensors for comprehensive analysis and implementation. This will significantly improve operational efficiency and reduce costs for CIL subsidiaries.,Dr. Lakshmi Mehta,IISc Bangalore,Explosives Technology,MoC,36,9410742,6333424,1603794,1035021,872711,2310683,21566375,Explosives Technology; Advanced; Innovation; Large-Scale
55,NACCER/2023/RD/3503,2023-02-21,Automated Analysis System for Water Quality Assessment,The research proposes an advanced solution to automated analysis system for water quality assessment. The methodology involves by combining traditional methods with modern AI techniques for comprehensive analysis and implementation. Expected outcomes include 30-40% improvement in productivity and enhanced safety measures.,Dr. Pooja Nair,IIT Bombay,Environmental Monitoring,CIL,24,2339738,1213073,539966,154169,238828,538292,5024066,Environmental Monitoring; System; Innovation; Applied Research
56,NACCER/2022/RD/6240,2022-05-27,Development of Advanced Dense Medium for Efficiency Improvement in Indian Coal,This research project aims to develop an innovative approach to development of advanced dense medium for efficiency improvement in indian coal. The methodology involves using cutting-edge automation and computational methods for comprehensive analysis and implementation. Expected outcomes include 30-40% improvement in productivity and enhanced safety measures.,Prof. Rahul Patel,NIT Warangal,Geotechnical Engineering,MoC,30,3359124,3539720,791605,360981,443910,1019440,9514780,Geotechnical Engineering; Advanced; Innovation; Large-Scale
57,NACCER/2022/RD/3977,2022-04-04,Optimization of Dry Cleaning Process for Quality Improvement,This project aims to address critical challenges to optimization of dry cleaning process for quality improvement. The methodology involves by combining traditional methods with modern AI techniques for comprehensive analysis and implementation. Results will contribute to digital transformation of the Indian coal sector.,Dr. Suresh Kumar,NIT Durgapur,Water Management,MoC,24,6205852,4701705,1836040,855230,752047,1722104,16072978,Water Management; Dry; Innovation; Large-Scale
